,distribution,bed_amount,denied,covid_denied,waiting_time,occupancy,admissioned,failed_reschedules,succesful_reschedules
163,"[4, 5, 4, 15, 10, 5]",43,1633,1328,122940,44.60098757566104,3286,21,958
164,"[4, 5, 5, 7, 17, 5]",38,1402,98,42486,74.41330209084354,4209,22,552
165,"[4, 5, 5, 7, 17, 5]",43,1277,1289,43086,46.22889455240522,3574,17,591
166,"[4, 5, 5, 8, 16, 5]",38,1191,152,36372,71.5978731074261,4237,1,595
167,"[4, 5, 5, 8, 16, 5]",43,1266,1266,48216,45.43325899968143,3464,19,573
168,"[4, 5, 5, 9, 15, 5]",38,1261,264,39174,72.36211247296322,4153,16,542
169,"[4, 5, 5, 9, 15, 5]",43,1372,1353,47904,46.93612615482638,3486,31,616
170,"[4, 5, 5, 10, 14, 5]",38,1326,259,45912,70.48756308579668,3946,26,518
171,"[4, 5, 5, 10, 14, 5]",43,1318,1311,50112,46.293405543166614,3493,17,621
172,"[4, 5, 5, 11, 13, 5]",38,1199,254,52128,67.05569574621485,4146,9,624
173,"[4, 5, 5, 11, 13, 5]",43,1300,1296,53658,46.83816502070724,3586,26,635
174,"[4, 5, 5, 12, 12, 5]",38,1291,409,41520,66.48792357606345,3995,22,559
175,"[4, 5, 5, 12, 12, 5]",43,1303,1376,60870,44.92035680152915,3520,15,766
176,"[4, 5, 5, 13, 11, 5]",38,1292,486,40920,67.70998558038933,3993,9,616
177,"[4, 5, 5, 13, 11, 5]",43,1327,1314,39162,45.35680152914941,3606,12,598
178,"[4, 5, 5, 14, 10, 5]",38,1383,536,50358,64.1113914924297,3873,9,689
179,"[4, 5, 5, 14, 10, 5]",43,1297,1430,41916,45.860146543485186,3531,6,623
180,"[4, 5, 6, 6, 17, 5]",38,1124,124,32946,73.42195385724585,4398,9,467
181,"[4, 5, 6, 6, 17, 5]",43,1353,1357,35556,48.102102580439634,3625,16,497
182,"[4, 5, 6, 7, 16, 5]",38,1194,181,28098,74.7152126892574,4434,10,395
183,"[4, 5, 6, 7, 16, 5]",43,914,1329,16080,46.15960496973558,3798,1,348
