,distribution,bed_amount,denied,covid_denied,waiting_time,occupancy,admissioned,failed_reschedules,succesful_reschedules
566,"[5, 6, 6, 9, 7]",33,1070,261,36504,67.7148194271482,3845,44,330
567,"[5, 6, 6, 10, 6]",33,997,395,29328,65.4337899543379,3900,5,433
568,"[5, 6, 6, 11, 5]",33,827,443,22164,62.5,3920,6,375
569,"[5, 6, 7, 4, 11]",33,1190,111,32454,75.61021170610212,3995,21,326
570,"[5, 6, 7, 5, 10]",33,1052,149,21792,74.32233291822334,4152,19,284
571,"[5, 6, 7, 6, 9]",33,971,249,18624,72.9846409298464,4194,3,327
572,"[5, 6, 7, 7, 8]",33,943,238,15552,72.56849315068493,4120,4,282
573,"[5, 6, 7, 8, 7]",33,920,340,23124,68.41843088418432,3991,22,217
574,"[5, 6, 7, 9, 6]",33,989,426,30192,69.48837691988376,4007,33,307
575,"[5, 6, 7, 10, 5]",33,950,507,17448,65.72229140722291,3955,5,310
576,"[5, 6, 8, 4, 10]",33,999,153,20556,74.47073474470734,4123,16,202
577,"[5, 6, 8, 5, 9]",33,924,217,21192,73.9321295143213,4273,7,268
578,"[5, 6, 8, 6, 8]",33,937,253,17928,73.02200083022001,4121,19,180
579,"[5, 6, 8, 7, 7]",33,1072,330,29886,71.6749688667497,3846,43,215
580,"[5, 6, 8, 8, 6]",33,946,429,31704,67.65877957658779,3870,45,168
581,"[5, 6, 8, 9, 5]",33,880,467,19968,67.41386467413865,4000,18,192
582,"[5, 6, 9, 4, 9]",33,828,212,10200,71.96450809464508,4248,5,169
583,"[5, 6, 9, 5, 8]",33,756,242,12462,70.85408883354089,4231,5,134
584,"[5, 6, 9, 6, 7]",33,824,306,17568,73.26899128268991,4208,14,149
585,"[5, 6, 9, 7, 6]",33,701,398,14136,67.03715234537152,4281,10,134
586,"[5, 6, 9, 8, 5]",33,811,487,16152,67.58717310087174,3944,20,95
587,"[5, 6, 10, 4, 8]",33,910,261,17544,71.09692818596928,4133,16,135
588,"[5, 6, 10, 5, 7]",33,644,324,6720,69.80489829804898,4291,3,97
589,"[5, 6, 10, 6, 6]",33,729,452,11988,67.77916147779162,4014,17,52
590,"[5, 6, 10, 7, 5]",33,807,507,16332,68.01888750518887,3943,13,107
591,"[5, 6, 11, 4, 7]",33,635,291,6312,67.59962640099626,4312,0,99
592,"[5, 6, 11, 5, 6]",33,920,399,25104,68.96326276463263,3977,36,75
593,"[5, 6, 11, 6, 5]",33,761,462,11772,66.74865089248651,4080,12,76
594,"[5, 6, 12, 4, 6]",33,790,393,11232,65.53860523038605,4182,5,86
595,"[5, 6, 12, 5, 5]",33,706,470,16950,64.4032793690328,3983,23,69
596,"[5, 6, 13, 4, 5]",33,831,470,18024,63.01162308011623,3920,29,46
597,"[5, 7, 4, 5, 12]",33,1454,67,92598,73.99439601494396,3693,12,829
598,"[5, 7, 4, 6, 11]",33,1408,134,74334,75.58426733084266,3699,1,819
599,"[5, 7, 4, 7, 10]",33,1224,177,70170,70.43690327936903,3739,1,805
600,"[5, 7, 4, 8, 9]",33,1311,271,102930,72.09007887090078,3690,16,910
601,"[5, 7, 4, 9, 8]",33,1494,268,129810,70.5552096305521,3419,49,929
602,"[5, 7, 4, 10, 7]",33,1453,370,99966,68.93316728933168,3506,17,919
603,"[5, 7, 4, 11, 6]",33,1347,457,115896,65.52615193026152,3580,12,991
604,"[5, 7, 4, 12, 5]",33,1168,509,100200,60.17019510170195,3552,4,919
605,"[5, 7, 5, 4, 12]",33,1241,61,55272,74.21855541718556,3886,6,691
